4.95 0.0695592  -0.492037 -0.119785 0.396428
4.96 0.0690057  -0.492002 -0.116411 0.399075
4.97 0.0684563  -0.49196 -0.11303 0.401674
4.98 0.0679111  -0.491908 -0.109642 0.404224
4.99 0.0673699  -0.491848 -0.106248 0.406725
5 0.0668327  -0.491779 -0.102848 0.409177
5.01 0.0662996  -0.491701 -0.0994417 0.41158
5.02 0.0657705  -0.491616 -0.0960297 0.413933
5.03 0.0652453  -0.491521 -0.0926122 0.416235
5.04 0.064724  -0.491418 -0.0891893 0.418488
5.05 0.0642067  -0.491307 -0.0857613 0.42069
5.06 0.0636932  -0.491188 -0.0823282 0.422841
5.07 0.0631836  -0.49106 -0.0788905 0.424942
5.08 0.0626778  -0.490924 -0.0754482 0.426991
5.09 0.0621759  -0.49078 -0.0720015 0.428989
5.1 0.0616777  -0.490628 -0.0685507 0.430935
5.11 0.0611833  -0.490467 -0.065096 0.43283
5.12 0.0606926  -0.490298 -0.0616375 0.434672
5.13 0.0602056  -0.490122 -0.0581755 0.436462
5.14 0.0597222  -0.489937 -0.0547102 0.4382
5.15 0.0592426  -0.489744 -0.0512417 0.439886
5.16 0.0587665  -0.489544 -0.0477704 0.441519
5.17 0.0582941  -0.489335 -0.0442963 0.443099
5.18 0.0578252  -0.489119 -0.0408197 0.444626
5.19 0.0573599  -0.488895 -0.0373407 0.446099
5.2 0.0568981  -0.488663 -0.0338597 0.44752
5.21 0.0564399  -0.488423 -0.0303767 0.448887
5.22 0.0559851  -0.488176 -0.026892 0.4502
5.23 0.0555337  -0.487921 -0.0234058 0.45146
5.24 0.0550858  -0.487658 -0.0199183 0.452666
5.25 0.0546414  -0.487388 -0.0164296 0.453818
5.26 0.0542002  -0.48711 -0.01294 0.454916
5.27 0.0537625  -0.486825 -0.00944972 0.45596
5.28 0.0533281  -0.486533 -0.00595888 0.456949
5.29 0.052897  -0.486232 -0.00246771 0.457885
5.3 0.0524692  -0.485925 0.0010236 0.458765
